Basin_Subb,Basin_Su_1,web_name
4-005,ACTON VALLEY,acton
6-010,ADOBE LAKE VALLEY,adobe
1-054.01,ALEXANDER VALLEY - ALEXANDER AREA,alexander
1-054.02,ALEXANDER VALLEY - CLOVERDALE AREA,ac
5-002.01,ALTURAS AREA - SOUTH FORK PITT RIVER,asfp
5-002.02,ALTURAS AREA - WARM SPRINGS VALLEY,awsv
5-010,AMERICAN VALLEY,american
7-016,AMES VALLEY,ames
7-034,AMOS VALLEY,amos
1-019,ANDERSON VALLEY,andersonvalley
1-049,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,annapolis
3-020,AÑO NUEVO AREA,ano
5-091,ANTELOPE CREEK,antc
6-007,ANTELOPE VALLEY,antv1
6-044,ANTELOPE VALLEY,antv2
3-034,ARROYO DE LA CRUZ VALLEY,adlcv
2-031,ARROYO DEL HAMBRE VALLEY,adhv
4-007,ARROYO SANTA ROSA VALLEY,asrv
7-037,ARROYO SECO VALLEY,asv
5-054,ASH VALLEY,ash
6-026,AVAWATZ VALLEY,avawatz
9-022,BATIQUITOS LAGOON VALLEY,batiquitos
5-064,BEAR VALLEY,bear1
8-009,BEAR VALLEY,bear2
5-020,BERRYESSA VALLEY,berryessa
7-015,BESSEMER VALLEY,bessemer
6-025,BICYCLE VALLEY,bicycle
1-027,BIG LAGOON AREA,biglagoon
8-007,BIG MEADOWS VALLEY,bigmeadows
1-045,BIG RIVER VALLEY,bigriver
3-047,BIG SPRING AREA,bigspring
5-004,BIG VALLEY,bv1
5-015,BIG VALLEY,bv2
3-030,BITTER WATER VALLEY,bitter
6-013,BLACK SPRINGS VALLEY,black
5-092,BLANCHARD VALLEY,blanchard
1-057,BODEGA BAY AREA,bodega
7-024.01,BORREGO VALLEY - BORREGO SPRINGS,bvbs
7-024.02,BORREGO VALLEY - OCOTILLO WELLS,bvow
1-039,BRANSCOMB TOWN AREA,branscomb
1-017,BRAY TOWN AREA,bray
6-008,BRIDGEPORT VALLEY,bridgeport
7-008,BRISTOL VALLEY,bristol
5-080,BRITE VALLEY,brite
6-032,BROADWELL VALLEY,broadwell
6-076,BROWN MOUNTAIN VALLEY,brown
7-054,BUCK RIDGE FAULT VALLEY,buck
6-101,BULL FLAT,bull
5-048,BURNEY CREEK VALLEY,burney
5-017,BURNS VALLEY,burns
5-051,BUTTE CREEK VALLEY,bcv
1-003,BUTTE VALLEY,butte1
6-081,BUTTE VALLEY,butte2
6-070,CACTUS FLAT,cactus
7-007,CADIZ VALLEY,cadiz
6-090,CADY FAULT AREA,cady
9-006,CAHUILLA VALLEY,cahuilla
6-079,CALIFORNIA VALLEY,california
7-041,CALZONA VALLEY,calzona
6-061,CAMEO AREA,ca
9-028,CAMPO VALLEY,cv
7-046,CANEBRAKE VALLEY,canebrake
3-007,CARMEL VALLEY,carmel
3-018,CARPINTERIA,carpinteria
3-019,CARRIZO PLAIN,carrizoplain
6-006,CARSON VALLEY,carson
5-029,CASTAC LAKE VALLEY,castac
2-008,CASTRO VALLEY,castro
6-038,CAVES CANYON VALLEY,caves
5-045,CAYTON VALLEY,cayton
3-038,CAYUCOS VALLEY,cayucos
7-043,CHEMEHUEVI VALLEY,chemehuevi
7-032,CHOCOLATE VALLEY,chocolate
3-005,CHOLAME VALLEY,cholame
3-042,CHORRO VALLEY,chorro
5-061,CHROME TOWN AREA,chrome
7-005,CHUCKWALLA VALLEY,chuckwalla
2-005,CLAYTON VALLEY,clayton
5-066,CLEAR LAKE CACHE FORMATION,clear
5-058,CLOVER VALLEY,clover
7-021.03,COACHELLA VALLEY - DESERT HOT SPRINGS,cvdhp
7-021.01,COACHELLA VALLEY - INDIO,cvi
7-021.02,COACHELLA VALLEY - MISSION CREEK,cvmc
7-021.04,COACHELLA VALLEY - SAN GORGONIO PASS,cvsgp
4-011.04,COASTAL PLAIN OF LOS ANGELES - CENTRAL,cplac
4-011.02,COASTAL PLAIN OF LOS ANGELES - HOLLYWOOD,cplah
4-011.01,COASTAL PLAIN OF LOS ANGELES - SANTA MONICA,cplasm
4-011.03,COASTAL PLAIN OF LOS ANGELES - WEST COAST,cplawc
8-001,COASTAL PLAIN OF ORANGE COUNTY,cpoc
9-033,COASTAL PLAIN OF SAN DIEGO,cpsd
6-072,COLES FLAT,coles
5-019,COLLAYOMI VALLEY,collayomi
7-055,COLLINS VALLEY,collins
4-010,CONEJO,conejo
7-011,COPPER MOUNTAIN VALLEY,copper
3-002.01,CORRALITOS - PAJARO VALLEY,pajaro
3-002.02,CORRALITOS - PURISIMA HIGHLANDS,pursima
6-055,COSO VALLEY,coso
1-037,COTTONEVA CREEK VALLEY,cottoneva
6-065,COTTONWOOD SPRING AREA,cottons
9-027,COTTONWOOD VALLEY,cottonv
1-011,COVELO ROUND VALLEY,covelo
6-091,COW HEAD LAKE VALLEY,cow
6-037,COYOTE LAKE VALLEY,coyotel
5-018,COYOTE VALLEY,coyotev
7-029,COYOTE WELLS VALLEY,coyotew
6-035,CRONISE VALLEY,cronise
6-050,CUDDEBACK VALLEY,cuddeback
5-082,CUDDY CANYON VALLEY,cuddycanyon
5-083,CUDDY RANCH AREA,cuddyranch
5-084,CUDDY VALLEY,cuddyvalley
5-027,CUMMINGS VALLEY,cummings
3-013,CUYAMA VALLEY,cuyama
7-009,DALE VALLEY,dale
6-057,DARWIN VALLEY,darwin
7-061,DAVIES VALLEY,davies
7-013.01,DEADMAN VALLEY - DEADMAN LAKE,dvdl
7-013.02,DEADMAN VALLEY - SURPRISE SPRING,dvss
6-018,DEATH VALLEY,deathvalley
6-015,DEEP SPRINGS VALLEY,deepsprings
6-078,DENNING SPRING VALLEY,denning
1-034,DINSMORES TOWN AREA,dinsmores
5-053,DIXIE VALLEY,dixie
2-040,DOWNTOWN,downtown
5-049,DRY BURNEY CREEK VALLEY,dryburney
3-029,DRY LAKE VALLEY,drylake
6-095,DRY VALLEY,dryvalley
6-096,EAGLE LAKE AREA,eagle
7-033,EAST SALTON SEA,eastsalton
1-044,EDEN VALLEY,eden
1-010,EEL RIVER VALLEY,eel
5-041,EGG LAKE VALLEY,egg
9-016,EL CAJON VALLEY,elcajon
6-043,EL MIRAGE VALLEY,elmirage
5-062,ELK CREEK AREA,elk
8-004.02,ELSINORE - BEDFORD-COLDWATER,elsinorebedford
8-004.01,ELSINORE - ELSINORE VALLEY,elsinorevalley
9-009,ESCONDIDO VALLEY,escondido
1-009,EUREKA PLAIN,eurekaplain
6-016,EUREKA VALLEY,eurekavalley
1-022,FAIRCHILD SWAMP VALLEY,fairchild
5-005,FALL RIVER VALLEY,fall
7-002,FENNER VALLEY,fenner
6-014,FISH LAKE VALLEY,fish
3-053,FOOTHILL,foothill
1-021,FORT BRAGG TERRACE AREA,fortbragg
1-061,FORT ROSS TERRACE DEPOSITS,fortross
6-046,FREMONT VALLEY,fremont
5-090,FUNKS CREEK,funks
1-032,GARBERVILLE TOWN AREA,garberville
1-020,GARCIA RIVER VALLEY,garcia
3-003.01,GILROY-HOLLISTER VALLEY - LLAGAS AREA,ghvl
3-003.05,GILROY-HOLLISTER VALLEY - NORTH SAN BENITO,ghvnsb
6-085,GOLD VALLEY,gold
6-048,GOLDSTONE VALLEY,goldstone
3-016,GOLETA,goleta
5-001.02,GOOSE LAKE - FANDANGO VALLEY,glfv
5-001.01,GOOSE LAKE - GOOSE VALLEY,glgv
5-047,GOOSE VALLEY,goose
6-077,GRASS VALLEY,grass
6-094,GRASSHOPPER VALLEY,grasshopper
1-048,GRAVELLY VALLEY,gravelly
5-052,GRAYS VALLEY,grays
6-084,GREENWATER VALLEY,greenwater
5-059,GRIZZLY VALLEY,grizzly
2-022,HALF MOON BAY TERRACE,half
1-015,HAPPY CAMP TOWN AREA,happy
6-047,HARPER VALLEY,harper
6-074,HARRISBURG FLATS,harrisburg
6-093,HARVEY VALLEY,harvey
1-006,HAYFORK VALLEY,hayfork
7-048,HELENDALE FAULT VALLEY,helendale
8-006,HEMET LAKE VALLEY,hemet
3-031,HERNANDEZ VALLEY,hernandez
1-036,HETTENSHAW VALLEY,hettenshaw
7-053,HEXIE MOUNTAIN AREA,hexie
4-016,HIDDEN VALLEY,hv1
6-063,HIDDEN VALLEY,hv2
5-016,HIGH VALLEY,high
6-004,HONEY LAKE VALLEY,honey
1-029,HONEYDEW TOWN AREA,honeydew
1-007,HOOPA VALLEY,hoopa
6-097,HORSE LAKE VALLEY,horse
5-040,HOT SPRINGS VALLEY,hot
3-045,HUASNA VALLEY,huasna
5-060,HUMBUG VALLEY,humbug
4-018,HUNGRY VALLEY,hungry
1-035,HYAMPOM VALLEY,hyampom
7-030,IMPERIAL VALLEY,imperial
5-009,INDIAN VALLEY,indianvalley
6-054,INDIAN WELLS VALLEY,indianwells
7-050,IRON RIDGE AREA,iron
2-033,ISLAIS VALLEY,islais
6-030,IVANPAH VALLEY,ivanpah
7-047,JACUMBA VALLEY,jacumba
5-003,JESS VALLEY,jess
7-018.01,JOHNSON VALLEY - SOGGY LAKE,jvsl
7-018.02,JOHNSON VALLEY - UPPER JOHNSON VALLEY,jvujv
5-086,JOSEPH CREEK,joseph
7-062,JOSHUA TREE,joshua
6-089,KANE WASH AREA,kane
6-069,KELSO LANDER VALLEY,klv
6-031,KELSO VALLEY,kv
2-019,KENWOOD VALLEY,kenwood
5-025,KERN RIVER VALLEY,krv
1-002.02,KLAMATH RIVER VALLEY - LOWER KLAMATH,krvlk
1-002.01,KLAMATH RIVER VALLEY - TULELAKE,krvt
1-050,KNIGHTS VALLEY,knights
5-007,LAKE ALMANOR VALLEY,lav
5-046,LAKE BRITTON AREA,lba
7-001,LANFAIR VALLEY,lanfair
6-036.02,LANGFORD VALLEY - IRWIN,lvi
6-036.01,LANGFORD VALLEY - LANGFORD WELL LAKE,lvlwl
1-033,LARABEE VALLEY,larabee
4-008,LAS POSAS VALLEY,lasposas
5-057,LAST CHANCE CREEK VALLEY,lccv
7-014,LAVIC VALLEY,lavic
1-012,LAYTONVILLE VALLEY,laytonville
6-027,LEACH VALLEY,leach
6-066,LEE FLAT,lee
6-106,LITTLE ANTELOPE VALLEY,littleantelope
5-065,LITTLE INDIAN VALLEY,littleindian
